 x median min max
 1 -0.9065578605 -0.9161337853 -0.8927911866
 2 -0.9858531935 -0.9866290705 -0.9782854714
 3 -0.9919112996 -0.9928878322 -0.9858735597
 4 -0.9948344182 -0.9952654464 -0.9908276553
 5 -0.9918070428 -0.9963889094 -0.9836641772
 6 -0.9966039586 -0.9975105424 -0.9924121213
 7 -0.9960682419 -0.9974834188 -0.9884081917
 8 -0.9973953117 -0.998506092 -0.9849396899
 9 -0.9952356047 -0.9981980176 -0.9863541005
 10 -0.9970161498 -0.9980514916 -0.9963330354
 11 -0.9971777076 -0.9978655344 -0.9838109691
 12 -0.9972024732 -0.9980967508 -0.9906534713
 13 -0.9977753732 -0.9983783444 -0.996709187
 14 -0.9979492186 -0.9985605047 -0.9899208799
 15 -0.998162332 -0.9987060917 -0.9959925737
 16 -0.9981540056 -0.9983192786 -0.9962184963
 17 -0.9983366257 -0.9986997078 -0.9976510456
 18 -0.9986004866 -0.9987784225 -0.9951762426
 19 -0.998184815 -0.9987764995 -0.9975719625
 20 -0.9983544832 -0.9987547192 -0.9948720229
 21 -0.9982862667 -0.9990469146 -0.9977773815
 22 -0.9980914861 -0.9991341364 -0.9941058178
 23 -0.9989745819 -0.9991815366 -0.9980952499
 24 -0.9988648685 -0.998979783 -0.9980861823
 25 -0.9987908416 -0.9989324631 -0.9981167939
 26 -0.9987701298 -0.9992287968 -0.9977657116
 27 -0.9984316755 -0.9986184265 -0.9970639796
 28 -0.9986260578 -0.9992753357 -0.9981483822
 29 -0.9989866664 -0.9993324748 -0.9978680657
 30 -0.9989281426 -0.9992942141 -0.9980658015
 31 -0.999024128 -0.9992138551 -0.9970525947
 32 -0.9990181766 -0.9992564305 -0.9975485577
 33 -0.9990276924 -0.9991921443 -0.9986536174
 34 -0.9987447133 -0.9991263009 -0.9981606523
 35 -0.9990124888 -0.9993847108 -0.9984922169
 36 -0.9991565609 -0.9993979281 -0.9983486051
 37 -0.9990207955 -0.9993131824 -0.9984255835
 38 -0.998933145 -0.9992921083 -0.9978379309
 39 -0.9991493581 -0.9992975112 -0.9986607141
 40 -0.9991407301 -0.999342573 -0.9984347789
 41 -0.999098972 -0.9993506519 -0.998404645
 42 -0.9990394601 -0.9993554932 -0.9970789921
 43 -0.9991736247 -0.9994101525 -0.9985760498
 44 -0.9992120701 -0.9993495702 -0.9984062594
 45 -0.9992323115 -0.9993661192 -0.9985084298
 46 -0.9990009433 -0.9992268057 -0.9984906268
 47 -0.999273302 -0.999433674 -0.9983244982
 48 -0.9992777213 -0.9994288475 -0.9979465427
 49 -0.9991192436 -0.9994509804 -0.9985223182
 50 -0.9992194506 -0.9993203046 -0.9983516893
