 x median min max
 1 -0.8240193416 -0.8486281633 -0.7422411442
 2 -0.8330658718 -0.8525406122 -0.7090859347
 3 -0.8370089186 -0.8604617119 -0.7123441299
 4 -0.8289707373 -0.8584667444 -0.7187983394
 5 -0.8358648997 -0.8618316054 -0.7326830162
 6 -0.8324906487 -0.8590184034 -0.7296211256
 7 -0.8305886302 -0.8570415378 -0.1143180106
 8 -0.8360601481 -0.863639254 -0.7192661166
 9 -0.8386025126 -0.8592355319 -0.7272505893
 10 -0.836511685 -0.8599217417 -0.7219019069
 11 -0.7986745782 -0.8564461791 -0.7290802929
 12 -0.8389321016 -0.857598041 -0.7262382905
 13 -0.8350201366 -0.8556310534 -0.7393245233
 14 -0.8392914706 -0.8521052599 -0.7278775639
 15 -0.8421921634 -0.8559737809 -0.7371882863
 16 -0.8444785321 -0.8609313001 -0.7430848214
 17 -0.8339225531 -0.8561153801 -0.7466311256
 18 -0.8459492474 -0.8546541929 -0.7359699541
 19 -0.8434079657 -0.8465555799 -0.761954546
 20 -0.8372483841 -0.8460848927 -0.7415887316
 21 -0.8426375564 -0.8536459692 -0.7398697933
 22 -0.8457148262 -0.8510197401 -0.7551446954
 23 -0.8467123864 -0.8605095148 -0.7453068495
 24 -0.8362800513 -0.8609415293 -0.7328512867
 25 -0.8406741948 -0.8589838147 -0.7502844201
 26 -0.8224491447 -0.8589967112 -0.7460591462
 27 -0.8459392674 -0.8545357814 -0.7252670063
 28 -0.8463026285 -0.851592386 -0.7097093463
 29 -0.8491333723 -0.8604204433 -0.7391908566
 30 -0.8464710759 -0.8514648167 -0.7372496062
 31 -0.8483256296 -0.8580518392 -0.7336870233
 32 -0.8464720586 -0.8592593225 -0.7315709326
 33 -0.8401615024 -0.8574256705 -0.7585845523
 34 -0.8502111886 -0.8540921807 -0.7287952701
 35 -0.8477325439 -0.8576330686 -0.7315402826
 36 -0.8399686807 -0.8532825696 -0.7260111769
 37 -0.8474596196 -0.8525478244 -0.7224238382
 38 -0.846566534 -0.8568943739 -0.7612284753
 39 -0.8512365192 -0.8553870916 -0.7474075754
 40 -0.8450415287 -0.8581029773 -0.7294978301
 41 -0.8479544611 -0.8596779108 -0.7362950709
 42 -0.8481420104 -0.856760079 -0.7144469089
 43 -0.8470541018 -0.8533448195 -0.7390893367
 44 -0.8449179562 -0.8611636162 -0.7286309534
 45 -0.8489538431 -0.8536827513 -0.7397675845
 46 -0.8494719863 -0.8533166192 -0.7460497154
 47 -0.8174855414 -0.8469129205 -0.7411450545
 48 -0.8393742325 -0.8474509495 -0.7528479629
 49 -0.8393371156 -0.8482702971 -0.7381234699
 50 -0.8410135508 -0.8504104354 -0.7374536329
